relation,A,B,C,D,D',raw_generation,new_generation,parsed_answer
Synonym,easy,simple,sad,unhappy,happy,<ans> D </ans></s>,,D
Synonym,hurry,rush,harm,injure,help,<ans> D </ans></s>,,D
Synonym,rob,steal,cry,weep,laugh,<ans> D </ans></s>,,D
Synonym,polite,courteous,angry,furious,happy,<ans> D </ans></s>,,D
Synonym,beginner,novice,doctor,physician,heal,<ans> D </ans></s>,,D
Synonym,baby,infant,woman,lady,girl,<ans> D </ans></s>,,D
Synonym,brook,stream,courage,bravery,cowardice,"<ans> D </ans>

Explanation:

The analogy ""brook : stream"" suggests a continuous flow or a part of a larger body. The term ""courage"" also implies a continuous quality or a strength that one possesses. Therefore, the correct completion for the analogy would be ""bravery"", which is also a continuous quality or a strength.

Option E, ""cowardice"", is not the correct completion as it is the opposite of courage and does not fit the analogy.</s>",,D
Synonym,huge,enormous,wealthy,rich,poor,<ans> D </ans></s>,,D
Synonym,cheerful,happy,awful,horrible,wonderful,<ans> D </ans></s>,,D
Synonym,remain,stay,begin,start,continue,<ans> D </ans></s>,,D
Synonym,unusual,strange,famous,renowned,unknown,"<ans> D </ans>

Explanation:

The analogy ""unusual : strange :: famous : ?"" requires completing the analogy with a word that is related to ""famous"" in the same way that ""strange"" is related to ""unusual"". The word ""renowned"" is the correct completion as it means widely known and respected, which is a characteristic of ""famous"". Therefore, the completed analogy should read ""unusual : strange :: famous : renowned"".</s>",,D
Synonym,sick,ill,little,small,big,<ans> D </ans></s>,,D
Synonym,legal,lawful,usual,normal,strange,"<ans> D </ans>

Explanation:

In this analogy, ""legal"" refers to something that is in accordance with the law, while ""lawful"" means something that is lawful or permitted by law. Similarly, ""usual"" refers to something that is common or normal, while the missing term should be something that is also common or normal. Therefore, the correct answer is ""normal"" (completion D).

The term ""strange"" (completion E) does not fit the analogy as it refers to something that is unusual or abnormal, which is not the intended meaning of the missing term.</s>",,D
Synonym,collect,gather,leave,abandon,stay,"<ans> D </ans>

Explanation:

The correct completion for the analogy ""collect : gather :: leave : ?"" is ""abandon"". The analogy is saying that just as collecting and gathering are two ways to obtain items, leaving and abandoning are two ways to disengage from a situation.</s>",,D
Synonym,clean,neat,fortunate,lucky,miserable,"<ans> D </ans>

Explanation:

The analogy ""clean : neat"" suggests a relationship of orderliness or tidiness. The analogy ""fortunate : ?"" should suggest a similar relationship, but with the concept of fortune or luck. Therefore, the correct completion is ""lucky"" (D), as it also relates to good fortune or luck. The other completion ""miserable"" (E) does not fit the analogy as it suggests the opposite of good fortune.</s>",,D
Synonym,immense,colossal,precise,exact,approximate,<ans> D </ans></s>,,D
Synonym,stone,rock,garbage,trash,bag,<ans> D </ans></s>,,D
Synonym,help,aid,raise,lift,lower,"<ans> D </ans>

Explanation:

The analogy ""help : aid"" means that help is to aid, in the same way that ""raise"" is related to ""lift"". Therefore, the correct completion is ""lift"" and not ""lower"". The analogy is saying that just as aid is a type of help, lift is a type of raise.</s>",,D
Synonym,rug,carpet,bucket,pail,milk,<ans> D </ans></s>,,D
Synonym,shout,yell,leap,jump,fall,<ans> D </ans></s>,,D
Opposite,artificial,natural,friend,enemy,relative,"<ans> D </ans>

Explanation:

The correct completion for the analogy ""artificial : natural :: friend : ?"" is ""enemy"". The analogy compares two pairs of contrasting concepts: artificial vs natural, and friend vs enemy. Artificial and natural are opposites in the sense that artificial objects are made by humans, while natural objects exist in nature without human intervention. Similarly, friend and enemy are opposites in the sense that friends are people who support and help each other, while enemies are people who oppose and harm each other. Therefore, the correct completion is ""enemy"".</s>",,D
Opposite,love,hate,rich,poor,wealthy,"<ans> D </ans>

Explanation:

The correct completion for the analogy ""love : hate :: rich : ?"" is ""poor"". The analogy is saying that love and hate are opposites, and rich and poor are opposites in the same way. Love is to hate as rich is to poor.</s>",,D
Opposite,alive,dead,succeed,fail,conquer,"<ans> D </ans>

Explanation:

The analogy ""alive : dead :: succeed : ?"" requires that ""dead"" and ""succeed"" be related in the same way that ""alive"" and ""succeed"" are related. Since ""alive"" and ""dead"" are opposites, the correct completion is ""fail"", which is the opposite of ""succeed"". Therefore, the answer is ""D: fail"".</s>",,D
Opposite,ugliness,beauty,joy,sorrow,emotion,"<ans> D </ans>

Explanation:

The analogy ""ugliness : beauty"" suggests a contrast between two concepts, where one is considered less desirable or pleasing than the other. The second part of the analogy, ""joy : ?"", also implies a contrast between two concepts, but the second concept is not clearly defined.

Option D, ""sorrow"", is a concept that is often considered the opposite of joy, making it the correct completion for the analogy. Option E, ""emotion"", is a broader concept that includes both joy and sorrow, and therefore does not fit the analogy as well.</s>",,D
Opposite,huge,tiny,arrive,depart,come,"<ans> D </ans>

Explanation:

The analogy ""huge : tiny :: arrive : ?"" is saying that ""huge"" is to ""tiny"" in the same way that ""arrive"" is to something else. The correct answer is ""depart"" because ""huge"" is to ""tiny"" as ""arrive"" is to ""depart"". Both pairs are opposites in terms of size and time respectively.</s>",,D
Opposite,somber,cheerful,lawyer,client,doctor,<ans> D </ans></s>,,D
Opposite,late,early,win,lose,capture,"<ans> D </ans>

Explanation:

The analogy ""late : early :: win : ?"" requires completing the analogy with a term that makes the analogy consistent. In this case, the correct completion is ""lose"". The analogy suggests that just as ""late"" is the opposite of ""early"", ""lose"" is the opposite of ""win"".</s>",,D
Opposite,quick,slow,grow,wither,plant,"<ans> D </ans>

Explanation:

The analogy ""quick : slow :: grow : ?"" requires completing the analogy with a term that is related to ""grow"" in the same way that ""slow"" is related to ""quick"". The term ""wither"" is the correct completion as it means to gradually lose vitality or strength, which is the opposite of ""grow"". Therefore, the final analogy should read ""quick : slow :: grow : wither"".</s>",,D
Opposite,antonym,synonym,selfish,generous,egocentric,<ans> D </ans></s>,,D
Opposite,quiet,noisy,last,first,final,"<ans> E </ans>

Explanation:

The analogy ""quiet : noisy"" describes a contrast between two states of sound. The analogy ""last : ?"" should describe a similar contrast between two states or concepts related to the order or sequence.

The correct completion is ""final"" because ""last"" refers to the most recent or final item in a sequence, while ""quiet"" and ""noisy"" describe contrasting states of sound. Therefore, the correct completion should describe a contrasting state or concept related to the order or sequence, which is ""final"".

Option D, ""first"", is incorrect because it does not describe a contrasting state or concept related to the order or sequence that is analogous to ""quiet"" and ""noisy"".</s>",,E
Opposite,start,stop,trivial,important,famous,"<ans> D </ans>

Explanation:

The analogy ""start : stop :: trivial : ?"" suggests that ""start"" and ""stop"" are related in some way, and that ""trivial"" is related to the missing term in the same way. The correct completion is ""important"", because ""start"" and ""stop"" are often used to describe the beginning and end of a process, and ""important"" and ""trivial"" are opposites in terms of significance. However, ""famous"" is not a suitable completion, as there is no clear connection between ""start/stop"" and ""famous/not famous"".</s>",,D
Opposite,laugh,cry,cheap,expensive,inexpensive,"<ans> E </ans>

Explanation:
The correct completion for the analogy ""laugh : cry :: cheap : ?"" is ""inexpensive"". The analogy is saying that just as laughing is a form of expressing happiness that is often associated with being free or low cost, inexpensive is a term used to describe something that is affordable or low cost.</s>",,E
Opposite,accept,reject,dark,bright,dim,"<ans> D </ans>

Explanation:

The correct completion for the analogy ""accept : reject :: dark : ?"" is ""D: bright"". This is because the analogy is stating that ""accept"" is to ""reject"" as ""dark"" is to ""bright"". Therefore, the missing term should be ""bright"" to complete the analogy.

Option E, ""dim"", is not the correct completion because ""dim"" is not the opposite of ""bright"" in the same way that ""reject"" is the opposite of ""accept"".</s>",,D
Opposite,abundant,scarce,agree,disagree,concur,<ans> D </ans></s>,,D
Opposite,hero,coward,strong,weak,muscular,<ans> D </ans></s>,,D
Opposite,teacher,student,calm,stormy,serene,"<ans> D </ans>

Explanation:

The analogy ""teacher : student :: calm : ?"" suggests that the relationship between a teacher and a student is similar to the relationship between calmness and something else. The correct answer is ""stormy"" because a teacher is in control and guides students, while a storm is a disruptive force that can be unpredictable and chaotic. Therefore, the analogy is completed as ""teacher : student :: calm : stormy"".</s>",,D
Opposite,give,take,allow,forbid,permit,"<ans> E </ans>

Explanation:

The correct completion for the analogy ""give : take :: allow : ?"" is ""permit"". The analogy states that ""give"" is to ""take"" as ""allow"" is to ""?"". ""Give"" means to provide something to someone, while ""take"" means to receive something from someone. Similarly, ""allow"" means to give permission for something to happen, while ""permit"" means to give permission. Therefore, the correct completion is ""permit"".</s>",,E
Opposite,clean,dirty,awake,asleep,alert,"<ans> D </ans>

Explanation:

The analogy ""clean : dirty :: awake : ?"" is saying that being clean is to dirty as being awake is to something. The correct answer is ""asleep"". Being awake is the opposite of being asleep, just as being clean is the opposite of being dirty.</s>",,D
Opposite,remember,forget,increase,decrease,lengthen,<ans> D </ans></s>,,D
